supConstruida,terreno,title,valorCLP,valorUF,x,y
47,50,Barrio Yungay.,400000,14,-33.44321,-70.67516
60,65,"Gorbea 2550, Barrio República",400000,14,-33.45448,-70.67145
60,65,"Avenida Santa Rosa 146, Santiago",410000,14,-33.44564,-70.64508
50,50,José Miguel de La Barra 521 - Departamento 4F,400000,14,-33.43636,-70.64307
50,55,"San Isidro 337, Santiago",395000,14,-33.44828,-70.64385
51,54,Yungay 2570,391348,14,-33.42950,-70.67289
55,55,Eleuterio Ramírez 1070,390000,14,-33.44933,-70.65036
45,45,Vicuña Mackenna 2004/Metro Ñuble,390000,13,-33.47039,-70.62599
70,70,Avenida Libertador Bernardo O'Higgins 776,380000,13,-33.44308,-70.64679
39,39,Calle San Ignacio de Loyola 425,395000,14,-33.45166,-70.65653
55,55,"San Francisco 350, Santiago",380000,13,-33.44917,-70.64665
50,50,vicuña mackenna,380000,13,-33.44894,-70.63880
34,36,Depto. Nuevo  sólo  6 pisos,380000,13,-33.43358,-70.65447
39,39,Arturo Prat,365000,13,-33.46400,-70.64560
44,44,Metro Santa Lucia / Metro U. Catolica,380000,13,-33.44796,-70.63964
50,50,San Isidro 234/Curicó,370000,13,-33.44643,-70.64356
36,37,"Eleuterio Ramírez 825, Santiago",360000,12,-33.44840,-70.64733
35,35,Metro Parque Bustamante,360000,12,-33.44425,-70.63407
70,75,Roberto Espinoza 973 - Departamento 903,380000,13,-33.45835,-70.65286
48,48,OPORTUNIDAD  DEPTO.  CARMEN CON SANTA ISABEL,355000,12,-33.44985,-70.64155
25,25,San Ignacio de Loyola  1498,250000,8,-33.46657,-70.65461
32,33,Mapocho 1450,350000,12,-33.43214,-70.65829
28,28,Eleuterio Ramírez 710,250000,8,-33.44823,-70.64505
29,29,Calle San Ignacio de Loyola 425,250000,8,-33.45166,-70.65653
45,45,TEATINOS 630 - Departamento 46,250000,8,-33.43633,-70.65582
33,35,Metro Santa Lucia,350000,12,-33.44837,-70.64376
30,30,Metro Moneda,250000,8,-33.44766,-70.65405
30,30,Mario Kreutzberger 1520,250000,8,-33.43590,-70.65900
29,58,Avenida Manuel Rodríguez 881 - Departamento 1607,250000,8,-33.43341,-70.66006
22,22,ALONSO OVALLE 868 INMEDIATO A SERRAN. Y ESTACION METRO UNIVERSIDAD DE CHILE,250000,8,-33.44579,-70.64842
40,40,catedral 1837,250000,8,-33.43853,-70.66293
30,30,Metro Moneda,250000,8,-33.44766,-70.65405
25,25,Catedral metro Quinta Normal,250000,8,-33.44001,-70.67823
28,28,san francisco 335,250000,8,-33.44914,-70.64756
27,27,Vicuña Mackenna 955,250000,8,-33.45388,-70.63056
30,30,Metro U de Chile,250000,8,-33.44915,-70.64718
30,30,Metro Moneda,250000,8,-33.44934,-70.65509
30,30,Metro Moneda,250000,8,-33.44934,-70.65509
33,33,DPTO ESTUDIO STGO General Mackenna  1555,250000,8,-33.43323,-70.65973
